Name,Location,Latitude,Longitude
Apartment for Rent,"2725 Obama Blvd, Los Angeles, CA 90018",34.0193011,-118.3255277
Apartment for Rent,"2769 James M Wood Blvd, Los Angeles, CA 90006",34.0559905,-118.2880176
Apartment for Rent,"2801 Sunset Pl, Los Angeles, CA 90005",34.060884,-118.284357
Apartment for Rent,"2811 Menlo Ave, Los Angeles, CA 90007",34.0292157,-118.290417
Apartment for Rent,"2914 S Normandie Ave, Los Angeles, CA 90007",34.028778,-118.3001297
Apartment for Rent,"2928 S Halldale Ave, Los Angeles, CA 90018",33.9784394,-118.3024169
Apartment for Rent,"2937 S Norton Ave, Los Angeles, CA 90018",34.0287608,-118.332823
Apartment for Rent,"2953 Francis Ave, Los Angeles, CA 90005",34.0568862,-118.2904199
Apartment for Rent,"300 E 9th St, Los Angeles, CA 90015",34.039902,-118.253313
Apartment for Rent,"3000 Normandie Ave, Los Angeles, CA 90007",34.0524999,-118.30001
Apartment for Rent,"3014 9th Ave, Los Angeles, CA 90018",34.0274638,-118.327051
Apartment for Rent,"3033 Van Buren Pl, Los Angeles, CA 90007",34.0269392,-118.2970816
Apartment for Rent,"3100 S Normandie Ave, Los Angeles, CA 90007",34.0265325,-118.300116
Apartment for Rent,"3105 S Normandie Ave, Los Angeles, CA 90007",34.0266661,-118.3003146
Apartment for Rent,"324 W 51st St, Los Angeles, CA 90037",33.9964088,-118.2788166
Apartment for Rent,"3339 W 8th St, Los Angeles, CA 90005",34.0577814,-118.3011342
Apartment for Rent,"334 S Main St, Los Angeles, CA 90013",34.0481785,-118.2463485
Apartment for Rent,"338 S Benton Way, Los Angeles, CA 90057",34.0660734,-118.2799532
Apartment for Rent,"343 E 53rd St, Los Angeles, CA 90011",33.9943387,-118.2689304
Apartment for Rent,"3480 San Marino St, Los Angeles, CA 90006",34.0543591,-118.3086241
Apartment for Rent,"3511 W 6th St, Los Angeles, CA 90020",34.0636618,-118.2982779
Apartment for Rent,"3520 W 39th St, Los Angeles, CA 90008",34.0145252,-118.3341108
Apartment for Rent,"3540 Wilshire Blvd, Los Angeles, CA 90010",34.0616526,-118.3017829
Apartment for Rent,"3616 W Adams Blvd, Los Angeles, CA 90018",34.0325356,-118.3243381
Apartment for Rent,"3711 Halldale Ave, Los Angeles, CA 90018",34.02058,-118.3030089
Apartment for Rent,"3881 S Gramercy Pl, Los Angeles, CA 90062",34.015105,-118.3133501
Apartment for Rent,"400 S Broadway, Los Angeles, CA 90013",34.0491544,-118.2489804
Apartment for Rent,"4005 W 28th St, Los Angeles, CA 90018",34.0315412,-118.3293648
Apartment for Rent,"4011 W 21st St, Los Angeles, CA 90018",34.0375592,-118.3282179
Apartment for Rent,"4012 S Normandie Ave, Los Angeles, CA 90037",34.0105675,-118.3000742
Apartment for Rent,"4058 9th Ave, Los Angeles, CA 90008",34.010222,-118.3272395
Apartment for Rent,"4077 8th Ave, Los Angeles, CA 90008",34.0098684,-118.3262867
Apartment for Rent,"417 S Hill St, Los Angeles, CA 90013",34.0497926,-118.2509534
Apartment for Rent,"4171 Dalton Ave, Los Angeles, CA 90062",34.0078788,-118.3035384
Apartment for Rent,"4172 S Hobart Blvd, Los Angeles, CA 90062",34.007855,-118.3076932
Apartment for Rent,"420 San Pedro St, Los Angeles, CA 90013",34.0451303,-118.2431733
Apartment for Rent,"4234 8th Ave, Los Angeles, CA 90008",34.0062939,-118.3258908
Apartment for Rent,"424 W Pico Blvd, Los Angeles, CA 90015",34.0392488,-118.2654307
Apartment for Rent,"426 E 30th St, Los Angeles, CA 90011",34.0200782,-118.2670766
Apartment for Rent,"4301 8th Ave, Los Angeles, CA 90008",34.0051608,-118.3258903
Apartment for Rent,"4308 S Normandie Ave, Los Angeles, CA 90037",34.0052628,-118.3000791
Apartment for Rent,"433 Lake S St, Los Angeles, CA 90057",34.061594,-118.274751
Apartment for Rent,"4335 Walton Ave, Los Angeles, CA 90037",34.00483,-118.2949073
Apartment for Rent,"4412 8th Ave, Los Angeles, CA 90043",34.0033817,-118.325642
