Name,Location,Total,Arson,Assault,Burglary,Disturbing the Peace,Drugs/Alcohol Violations,DUI,Fraud,Homicide,Motor Vehicle Theft,Robbery,Sex Crimes,Theft/Larceny,Vandalism,Vehicle Break-In/Theft,Weapons
Apartment for Rent,"2663 5th Ave, Los Angeles, CA 90018",25,0,2,0,0,0,0,0,0,9,0,0,2,0,12,0
Apartment for Rent,"2684 Orchard Ave, Los Angeles, CA 90007",71,0,7,6,0,0,0,0,0,19,2,0,32,0,5,0
Apartment for Rent,"2725 Obama Blvd, Los Angeles, CA 90018",17,1,2,3,0,0,0,0,0,9,0,0,0,0,2,0
Apartment for Rent,"2769 James M Wood Blvd, Los Angeles, CA 90006",77,0,18,8,0,0,0,0,3,17,9,1,8,0,13,0
Apartment for Rent,"2801 Sunset Pl, Los Angeles, CA 90005",67,0,20,7,0,0,0,0,2,12,7,1,10,0,8,0
Apartment for Rent,"2811 Menlo Ave, Los Angeles, CA 90007",70,0,6,6,0,0,0,0,0,20,1,0,29,0,8,0
Apartment for Rent,"2914 S Normandie Ave, Los Angeles, CA 90007",30,0,1,4,0,0,0,0,0,9,0,0,8,0,8,0
Apartment for Rent,"2928 S Halldale Ave, Los Angeles, CA 90018",35,0,4,6,0,0,0,0,0,9,2,0,7,0,7,0
Apartment for Rent,"2937 S Norton Ave, Los Angeles, CA 90018",24,0,6,1,0,0,0,0,0,6,0,0,1,0,10,0
Apartment for Rent,"2953 Francis Ave, Los Angeles, CA 90005",75,0,19,11,0,0,0,0,3,11,12,1,7,0,11,0
Apartment for Rent,"300 E 9th St, Los Angeles, CA 90015",194,2,39,7,0,0,0,0,0,41,19,0,46,0,40,0
Apartment for Rent,"3000 Normandie Ave, Los Angeles, CA 90007",43,0,5,8,0,0,0,0,0,12,1,0,8,0,9,0
Apartment for Rent,"3014 9th Ave, Los Angeles, CA 90018",26,1,6,1,0,0,0,0,0,10,0,0,1,0,7,0
Apartment for Rent,"3033 Van Buren Pl, Los Angeles, CA 90007",42,0,4,7,0,0,0,0,0,9,1,0,11,0,10,0
Apartment for Rent,"3100 S Normandie Ave, Los Angeles, CA 90007",43,0,5,8,0,0,0,0,0,13,1,0,8,0,8,0
