Name,Location,Price(in $),Latitude,Longitude,Distance(meter),Total,Arson,Assault,Burglary,Homicide,Motor Vehicle Theft,Robbery,Sex Crimes,Theft/Larceny,Vehicle Break-In/Theft
Townhome for Rent,"608 W 42nd St, Los Angeles, CA 90037",3200.0,34.0069715,-118.2843833,1716.842212163902,43,0,10,2,0,5,5,0,13,8
Trademark,"437 S Hill St, Los Angeles, CA 90013",4274.0,34.049653,-118.2514664,4334.544382037704,201,0,45,10,0,24,23,1,52,46
Tremont Apartments,"514 S Catalina St, Los Angeles, CA 90020",2725.0,34.0650614,-118.2952954,4835.846794191922,82,0,19,13,2,11,13,0,12,12
Tripalink Co-living Apartments,"1147 W 37th St, Los Angeles, CA 90007",1575.0,34.021041,-118.2927135,717.7570235002471,57,0,5,6,0,14,2,0,21,9
Tripalink-1344 W 37th Pl,"1344 W 37th Pl, Los Angeles, CA 90007",1620.0,34.0198872,-118.298837,1296.4931363524322,39,0,3,7,0,11,2,1,7,8
Tuscani Villas,"369 Columbia Ave, Los Angeles, CA 90017",1837.0,34.0579023,-118.2654433,4343.334803569489,93,1,25,12,0,16,10,3,14,12
Tuscany Apartments Student Living,"3770 S Figueroa St, Los Angeles, CA 90007",2445.0,34.0168761,-118.2826486,654.4632954804432,43,0,1,3,0,13,1,0,21,4
University Gateway,"3335 S Figueroa St, Los Angeles, CA 90007",2692.0,34.022364,-118.2798047,488.0337820826196,77,0,6,4,0,18,2,0,40,7
WILCO Apartments,"2525 Wilshire Blvd, Los Angeles, CA 90057",2503.0,34.0603091,-118.2807739,4234.104110854551,75,0,27,3,1,10,11,1,13,9
Watermarke Tower,"705 W 9th St, Los Angeles, CA 90015",6236.0,34.0463266,-118.2617087,3424.077720994748,242,1,36,8,1,40,20,0,81,55
West 27th,"2700 S Figueroa St, Los Angeles, CA 90007",2955.0,34.02722,-118.276486,957.8343710848684,62,0,7,4,0,12,2,0,32,5
Western Towers,"1057 S Western Ave, Los Angeles, CA 90006",1535.0,34.0512286,-118.3091469,3896.869068198686,59,2,5,15,0,12,4,0,11,10
Westland @ Regina,"420 S Westlake Ave, Los Angeles, CA 90057",1535.0,34.0604435,-118.272598,4384.280158018649,74,0,24,9,0,8,13,0,14,6
Westmore on Wilshire,"3075 Wilshire Blvd, Los Angeles, CA 90010",2525.0,34.061892,-118.288559,4402.86034344219,79,0,23,12,2,11,10,1,12,8
Wilshire Valencia,"1515 Wilshire Blvd, Los Angeles, CA 90017",2868.0,34.0548093,-118.2686684,3908.883881559762,111,1,36,12,1,18,15,1,15,12
Wilshire Vermont,"3183 Wilshire Blvd, Los Angeles, CA 90010",2719.0,34.0626745,-118.2909789,4510.960080847612,86,0,23,14,2,12,11,1,12,11
Windsor Court,"900 S Irolo St, Los Angeles, CA 90006",2021.0,34.05301,-118.301027,3706.5874971732223,60,0,10,11,1,15,5,0,8,10
Wren,"1230 S Olive St, Los Angeles, CA 90015",3002.0,34.0384342,-118.2629339,2711.3110914561503,179,1,25,7,0,51,10,1,35,49
mResidences Olympic & Olive,"1001 S Olive St, Los Angeles, CA 90015",2895.0,34.0419696,-118.2603795,3150.299789194706,260,1,31,5,0,55,17,1,83,67
the 314 DTLA,"601 S Broadway, Los Angeles, CA 90014",2645.0,34.046601,-118.252201,4053.6349337095776,252,1,65,11,0,34,24,1,66,50
